Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:15 EDT
"Nutrient data for: FRESH BAKED QUICHES, UPC: 023933300498"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"4.0 ONZ = 113.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,261,231
"Protein",g,--,--,9.90,8.76
"Total lipid (fat)",g,--,--,17.50,15.49
"Carbohydrate, by difference",g,--,--,15.40,13.63
"Fiber, total dietary",g,--,--,2.0,1.8
"Sugars, total",g,--,--,1.70,1.50
Minerals
"Calcium, Ca",mg,--,--,99,88
"Iron, Fe",mg,--,--,0.90,0.80
"Sodium, Na",mg,--,--,349,309
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,3.1,2.7
"Vitamin A, IU",IU,--,--,499,442
Lipids
"Fatty acids, total saturated",g,--,--,8.102,7.170
"Fatty acids, total trans",g,--,--,0.203,0.180
"Cholesterol",mg,--,--,147,130
Amino Acids
Other
Ingredients
"CRUST(WHEAT FLOUR, VEGETABLE SHORTENING [SOYBEAN OIL, HYDROGENATED COTTONSEED OIL], WATER, SALT, DEXTROSE, BAKING SODA), EGG, MILK, HALF/HALF (CREAM, MILK), CHEDDAR CHEESE(CULTURED MILK, SALT, ENZYMES, ANNATTO), BROCCOLI, HAM(CURED W/CARAMEL COLOR, WATER, SALT, SODIUM PHOSPHATE, BROWN SUGAR, SUGAR, SODIUM ACETATE/DIACETATE/ERYTHROBATE/NITRITE), SOUR CREAM (CULTURED MILKFAT, MILK, FOOD STARCH, GUAR GUM, SODIUM PHOSPHATE, LOCUST BEAN GUM, SODIUM CITRATE, CARRAGEENAN, POTASSIUM SORBATE), RED BELL PEPPER, ONION, STARCH, SALT, BASIL, GARLIC, PEPPER." Date available: 05/14/2018 Date last updated by company: 05/14/2018
