Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 20:09 EDT
"Nutrient data for: PANCAKE MIX, UPC: 732346000870"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.333 PACKAGE = 38.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,130,342
"Protein",g,--,--,3.00,7.89
"Total lipid (fat)",g,--,--,0.00,0.00
"Carbohydrate, by difference",g,--,--,30.00,78.95
"Fiber, total dietary",g,--,--,1.0,2.6
"Sugars, total",g,--,--,5.00,13.16
Minerals
"Calcium, Ca",mg,--,--,0,0
"Iron, Fe",mg,--,--,1.44,3.79
"Sodium, Na",mg,--,--,250,658
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,0.0,0.0
"Vitamin A, IU",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,0,0
Amino Acids
Other
Ingredients
"ENRICHED WHEAT FLOUR (NIACIN, IRON, THIAMINE MONONITRATE, RIBOFLAVIN AND FOLIC ACID), SUGAR, LEAVENING (CREAM OF TARTAR, CORN STARCH, SODIUM BICARBONATE), SALT, BUTTERMILK FLAVOR (BUTTERMILK, BUTTEROIL, LACTIC ACID, NATURAL FLAVOR, NONFAT MILK, DISODIUM PHOSPHATE, ENZYMES, ALPHA-TOCOPHEROL (ANTIOXIDANT))." Date available: 05/14/2018 Date last updated by company: 05/14/2018
