Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:54 EDT
"Nutrient data for: FROZEN GREEK YOGURT BARS, UPC: 688267138195"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"1 BAR = 60.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,90,150
"Protein",g,--,--,4.00,6.67
"Total lipid (fat)",g,--,--,2.00,3.33
"Carbohydrate, by difference",g,--,--,15.00,25.00
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,11.00,18.33
Minerals
"Calcium, Ca",mg,--,--,100,167
"Iron, Fe",mg,--,--,0.36,0.60
"Sodium, Na",mg,--,--,75,125
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,2.4,4.0
"Vitamin A, IU",IU,--,--,100,167
Lipids
"Fatty acids, total saturated",g,--,--,1.500,2.500
"Fatty acids, total monounsaturated",g,--,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,--,--,0.000,0.000
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,17
Amino Acids
Other
Ingredients
"MILK, SUGAR, CORN SYRUP, CULTURED BASE (SKIM MILK, WHEY PROTEIN CONCENTRATE, MILK PROTEIN CONCENTRATE, SODIUM CITRATE, NATURAL FLAVOR), NONFAT DRY MILK, CREAM, COCOA POWDER, STABILIZER (CAROB BEAN GUM, PECTIN, CARRAGEENAN), CITRIC ACID, ACETIC ACID, PROBIOTIC YOGURT CULTURES (STREPTOCOCCUS THERMOPHILUS, BIFIDOBACTERIUM LACTIS, LACTOBACILLUS ACIDOPHILUS, LACTOBACILLUS CASEI, LACTOBACILLUS RHAMNOSUS, LACTOBACILLUS DELBRUECKII)." Date available: 12/13/2017 Date last updated by company: 12/13/2017
