Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5 2018-08-15
Report Run at: August 19 2018 17:52 EDT
"Nutrient data for: THIN AND CRISPY PIZZA, UPC: 020662006073"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"0.333 PIZZA = 142.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,349,246
"Protein",g,--,--,15.00,10.56
"Total lipid (fat)",g,--,--,18.01,12.68
"Carbohydrate, by difference",g,--,--,33.00,23.24
"Fiber, total dietary",g,--,--,0.0,0.0
"Sugars, total",g,--,--,2.00,1.41
"Sugars, added",g,--,--,1.0,0.7
Minerals
"Calcium, Ca",mg,--,--,263,185
"Iron, Fe",mg,--,--,2.00,1.41
"Potassium, K",mg,--,--,187,132
"Sodium, Na",mg,--,--,690,486
Vitamins
"Vitamin D",IU,--,--,0,0
Lipids
"Fatty acids, total saturated",g,--,--,9.003,6.340
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,50,35
Amino Acids
Other
Ingredients
"MULTIGRAIN CRUST (WHEAT FLOUR, WATER, VEGETABLE OIL [CANOLA OIL, PURE OLIVE OIL], FLAXSEED, YEAST, SUGAR, SALT, WHOLE OAT FLOUR), LOW-MOISTURE MOZZARELLA CHEESE (PASTEURIZED WHOLE MILK, CHEESE CULTURES, SALT, ENZYMES), SAUCE (GARLIC HERB CHEESE SPREAD [CREAM CHEESE {PASTEURIZED MILK AND CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM}, SOUR CREAM {GRADE A PASTEURIZED MILK, PASTEURIZED CREAM, PASTEURIZED SKIM MILK, CORN STARCH, GUAR GUM, CARRAGEENAN, LOCUST BEAN GUM, CULTURES, ENZYMES}, GARLIC PUREE {GARLIC, WATER}, CONTAINS 2% OR LESS OF: SALT, CANE SUGAR, CHIVES, VINEGAR, BUTTERMILK POWDER, ONION*, GUAR GUM, NATURAL FLAVOR {OLIVE OIL, CANOLA OIL, NATURAL FLAVORS}, SPICES], RICOTTA CHEESE [PASTEURIZED WHOLE MILK, WHEY, VINEGAR AND SALT], EXTRA VIRGIN OLIVE OIL, SALT, ONION*, GARLIC*, BLACK PEPPER), SPINACH, OREGANO*." Date available: 02/03/2018 Date last updated by company: 02/03/2018
